TDS #,EDP,# days,Current Charges,Consumption,Water&Sewer Charges,Other Charges,,Total Charges,,,,,,,,,,,,,
91,240,168,58940.97,5973,58940.97,0,,117881.94,,,,,,,,,,,,,
91,240,87,30511.55,3092,30511.55,0,,61023.1,,,,,,,,,,,,,
91,240,28,8012.73,812,8012.73,0,,16025.46,,,,,,,,,,,,,
91,240,29,8170.62,828,8170.62,0,,16341.24,,,,,,,,,,,,,
91,240,29,9601.47,973,9601.47,0,,19202.94,,,,,,,,,,,,,
91,240,34,10982.97,1113,10982.97,0,,21965.94,,,,,,,,,,,,,
91,240,29,8407.45,852,8407.45,0,,16814.9,,,,,,,,,,,,,
91,240,29,7815.38,792,7815.38,0,,15630.76,,,,,,,,,,,,,
91,240,29,7637.75,774,7637.75,0,,15275.5,,,,,,,,,,,,,
91,240,28,7884.45,799,7884.45,0,,15768.9,,,,,,,,,,,,,
91,240,34,11723.07,1188,11723.07,0,,23446.14,,,,,,,,,,,,,
91,240,32,19331.21,1959,19331.21,0,,38662.42,,,,,,,,,,,,,
91,240,29,12344.74,1251,12344.74,0,,24689.48,,,,,,,,,,,,,
91,240,31,9058.73,918,9058.73,0,,18117.46,,,,,,,,,,,,,
91,240,31,8683.75,880,8683.75,0,,17367.5,,,,,,,,,,,,,
91,240,32,7588.42,769,7588.42,0,,15176.84,,,,,,,,,,,,,
91,240,27,6206.91,629,6206.91,0,,12413.82,,,,,,,,,,,,,
91,240,34,8821.9,894,8821.9,0,,17643.8,,,,,,,,,,,,,
91,240,29,7825.24,793,7825.24,0,,15650.48,,,,,,,,,,,,,
91,240,29,7430.53,753,7430.53,0,,14861.06,,,,,,,,,,,,,
91,240,31,9196.88,932,9196.88,0,,18393.76,,,,,,,,,,,,,
91,240,30,8358.11,847,8358.11,0,,16716.22,,,,,,,,,,,,,
91,240,29,7183.83,728,7183.83,0,,14367.66,,,,,,,,,,,,,
91,240,6,4090.91,405,4090.91,0,,8181.82,,,,,,,,,,,,,
91,240,98,16041.24,1827,16041.24,0,,32082.48,,,,,,,,,,,,,
91,240,29,4872.96,555,4872.96,0,,9745.92,,,,,,,,,,,,,
91,240,33,5540.24,631,5540.24,0,,11080.48,,,,,,,,,,,,,
91,240,29,6819.29,745,6819.29,0,,13638.58,,,,,,,,,,,,,
91,240,30,5989.84,646,5989.84,0,,11979.68,,,,,,,,,,,,,
91,240,33,5646.77,609,5646.77,0,,11293.54,,,,,,,,,,,,,
91,240,30,5303.7,572,5303.7,0,,10607.4,,,,,,,,,,,,,
91,240,33,6407.09,691,6407.09,0,,12814.18,,,,,,,,,,,,,
91,240,27,5980.57,645,5980.57,0,,11961.14,,,,,,,,,,,,,
91,240,32,6685.26,721,6685.26,0,,13370.52,,,,,,,,,,,,,
